title,like,email
พูดจากวนตีน,1,|jirapat.ha@ku.th
พูดจากวนตีน,1,|jirapat.ha@ku.th
"ค่า pm 2.5 สูง",0,
ขยะเกลื่อนตามฟุตบาท,0,
ลูกบาสพัง,0,
ลูกบอลรั่ว,0,
กระบถหลุดโค้ง,0,
ชนตัวเงินตัวทอง,0,
ไม่สามารถติดต่อที่ปรึกษา,0,
นิสิตตีกัน,0,
พบคนทารุณสัตว์,0,
รถชน,0,
พบพฤติกรรมไม่เหมาะสม,1,|cranel@gmail.com
คอมพัง,1,|cranel@gmail.com
Webลงทะเบียนล่ม,1,|cranel@gmail.com
ฐานข้อมูลของห้องสมุด,1,|cranel@gmail.com
ที่จอดรถเต็ม,1,|cranel@gmail.com
ถนนเป็นหลุม,0,
ห้องน้ำใช้งานไม่ได้,1,|cranel@gmail.com
น้ำท่วม,1,|cranel@gmail.com
ต้นไม้แห้งตาย,1,|cranel@gmail.com
วินหยาบคาย,0,
เน็ตช้า,0,
programรายงานมีบัค,0,
น้ำเน่าเสีย,1,|cranel@gmail.com
งานเยอะเกินจำเป็น,2,"|vlad_m@gmail.com|cranel@gmail.com"
เสียงการเรียนไม่ชัด,1,|cranel@gmail.com
วินมอไซต์ตีกัน,1,|cranel@gmail.com
ตารางเรียนชนกัน,1,|cranel@gmail.com
เก็บเงินเยอะผิดจากปกติ,2,"|cranel@gmail.com|uraraka@gmail.com"
ขับรถประมาท,1,|uraraka@gmail.com
โปรเจกเตอร์เสีย,2,"|cranel@gmail.com|uraraka@gmail.com"
ข่าวสารไม่ทั่วถึง,2,"|cranel@gmail.com|uraraka@gmail.com"
เว็บคณะล่ม,2,"|cranel@gmail.com|uraraka@gmail.com"
เน็ตขาด,2,"|cranel@gmail.com|uraraka@gmail.com"
เวลาเรียนไม่เหมาะสม,3,"|vlad_m@gmail.com|cranel@gmail.com|uraraka@gmail.com"
นักเรียนคณะวิทย์ตบกัน,1,|uraraka@gmail.com
ตกท่อ,1,|uraraka@gmail.com
คีย์บอร์ดพัง,2,"|cranel@gmail.com|nouzen@gmail.com"
"พบคนเอาหนังสติ๊กมายิงสัตว์",3,"|cranel@gmail.com|uraraka@gmail.com|nouzen@gmail.com"
โต๊ะปิงปองพัง,1,|nouzen@gmail.com
จักรยานยนต์ล่ม,1,|nouzen@gmail.com
แป้นบาสพัง,1,|nouzen@gmail.com
ห้องน้ำสกปรกในหอพักชาย,2,"|vlad_m@gmail.com|nouzen@gmail.com"
โรงอาหารเล็กเกินไป,2,"|cranel@gmail.com|nouzen@gmail.com"
เมาส์พัง,2,"|cranel@gmail.com|nouzen@gmail.com"
วินไม่ยอมรับลูกค้า,4,"|vlad_m@gmail.com|cranel@gmail.com|nouzen@gmail.com|jirapat.ha@ku.th"
