title,email,category,reportStage,problemDate,time,text,image,agency,staffemail,process
วินไม่ยอมรับลูกค้า,teekung@gmail.com,มอเตอร์ไซค์,"in queue",18/10/2565,02:42:00,"ชมพู|ประตูBTS|12|วินปฏิเสธลูกค้าไม่ยอมบริการให้",,กองยานพาหนะ,,
พบพฤติกรรมไม่เหมาะสม,teekung@gmail.com,มอเตอร์ไซค์,"in queue",18/10/2565,02:49:55,"เขียว|บริเวณประตูพหล|7|เห็นกำลังเสพสารบางอย่างเลยอยากให้ตรวจสอบ",,กองยานพาหนะ,,
วินหยาบคาย,teekung@gmail.com,มอเตอร์ไซค์,"in queue",18/10/2565,02:51:58,"เขียว|ตรงข้ามธนาคารกรุงศรี|8|พูดจาหยาบคายกับผู้ใช้บริการ",,กองยานพาหนะ,,
เก็บเงินเยอะผิดจากปกติ,teekung@gmail.com,มอเตอร์ไซค์,"in queue",18/10/2565,03:02:24,"ชมพู|แถวๆหอสมุด|4|เก็บเงินเยอะจากเดิมที่เคยเก็บ10บาทแต่กลับถูกเก็บ20บาท",,กองยานพาหนะ,,
ขับรถประมาท,teekung@gmail.com,มอเตอร์ไซค์,"in queue",18/10/2565,03:13:54,"เขียว|ไม่ทราบ|14|ขับรถประมาทไม่ดูถนนจนเฉี่ยวชนคนข้ามถนน",,กองยานพาหนะ,,
คีย์บอร์ดพัง,teekung@gmail.com,อุปกรณ์ITเสียหาย,"in queue",18/10/2565,03:24:53,"ของห้องสมุด|ใกล้ๆบริเวณโรงหนังที่ชั้น3ของห้องสมุด","คีย์บอร์ดพัง_2022-10-18_1666038293291.png","หน่วยงานเทคโนโลยีและสารสนเทศ",,
โปรเจกเตอร์เสีย,teekung@gmail.com,อุปกรณ์ITเสียหาย,"in queue",18/10/2565,03:29:29,วิทยาการคอมพิวเตอร์|708,"โปรเจกเตอร์เสีย_2022-10-18_1666038569041.png","หน่วยงานเทคโนโลยีและสารสนเทศ",,
เน็ตช้า,teekung@gmail.com,อุปกรณ์ITเสียหาย,"in queue",18/10/2565,03:31:58,"บริเวณชั้น7และ8ตึกSC45|ไม่ทราบ","เน็ตช้า_2022-10-18_1666038718464.png","หน่วยงานเทคโนโลยีและสารสนเทศ",,
คอมพัง,teekung@gmail.com,อุปกรณ์ITเสียหาย,"in queue",18/10/2565,03:34:02,ตึกSCL|ไม่ทราบ,"คอมพัง_2022-10-18_1666038842778.jpg","หน่วยงานเทคโนโลยีและสารสนเทศ",,
เมาส์พัง,teekung@gmail.com,อุปกรณ์ITเสียหาย,"in queue",18/10/2565,03:41:30,"วิทยาการคอม|ห้อง708อาคารSC45","เมาส์พัง_2022-10-18_1666039290657.jpg","หน่วยงานเทคโนโลยีและสารสนเทศ",,
ข่าวสารไม่ทั่วถึง,teekung@gmail.com,ระบบเครือข่าย,"in queue",18/10/2565,03:43:09,"มีการกระจายข่าวของมหาลัยหลายอย่างไม่ทั่วถึงทำให้ไม่ทราบและทำให้เสียโอกาส",,"หน่วยงานเทคโนโลยีและสารสนเทศ",,
Webลงทะเบียนล่ม,teekung@gmail.com,ระบบเครือข่าย,"in queue",18/10/2565,03:44:13,"เว็บของMy ku ล่มทำให้ลงทะเบียนไม่ได้",,"หน่วยงานเทคโนโลยีและสารสนเทศ",,
programรายงานมีบัค,teekung@gmail.com,ระบบเครือข่าย,"in queue",18/10/2565,03:46:03,"โปรแกรมแจ้งเรื่องร้องเรียนมีบัคกดเปลี่ยนรูปภาพไม่ได้",,"หน่วยงานเทคโนโลยีและสารสนเทศ",,
ฐานข้อมูลของห้องสมุด,teekung@gmail.com,ระบบเครือข่าย,"in queue",18/10/2565,03:47:11,"ฐานข้อมูลของห้องสมุดมีข้อมูลไม่ครบถ้วนหลายๆอย่างหายไป",,"หน่วยงานเทคโนโลยีและสารสนเทศ",,
เว็บคณะล่ม,teekung@gmail.com,ระบบเครือข่าย,"in queue",18/10/2565,03:49:41,เข้าเว็บคณะไม่ได้,,"หน่วยงานเทคโนโลยีและสารสนเทศ",,
ที่จอดรถเต็ม,midoriya@gmail.com,สถานที่,"in queue",18/10/2565,01:42:16,"หน้าคณะวิทยาศาสตร์|ที่จอดรถน้อยเกินไป ไม่เพียงพอต่อบุคคลากร","ที่จอดรถเต็ม_2022-10-18_1666032136716.jpg","หน่วยงานสถานที่และสิ่งแวดล้อม",,
โรงอาหารเล็กเกินไป,midoriya@gmail.com,สถานที่,"in queue",18/10/2565,01:47:28,"โรงอาหารคณะวิทยาศาสตร์|โรงอาหารมีความจุไม่เพียงพอต่อนิสิตนักศึกษา ทำให้นิสิตต้องไปกินที่โรงอาหารอื่น","โรงอาหารเล็กเกินไป_2022-10-18_1666032448818.png","หน่วยงานสถานที่และสิ่งแวดล้อม",,
ถนนเป็นหลุม,midoriya@gmail.com,สถานที่,"in queue",18/10/2565,01:54:38,"ถนนบริเวณหน้าคณะวิทยาศาสตร์|ถนนบริเวณข้างหน้าคณะวิทยาศาสตร์ มีหลุมอยู่เป็นแหล่งๆ ทำให้รถที่สัญจรไปมาต้องคอยระมักระวัง","ถนนเป็นหลุม_2022-10-18_1666032878293.jpg","หน่วยงานสถานที่และสิ่งแวดล้อม",,
ห้องน้ำใช้งานไม่ได้,midoriya@gmail.com,สถานที่,"in queue",18/10/2565,02:00:22,"ชั้น 7 คณะวิทยาศาสตร์|ห้องน้ำชำรุด และ ยังไม่มีการดำเนินการซ่อม","ห้องน้ำใช้งานไม่ได้_2022-10-18_1666033222882.jpg","หน่วยงานสถานที่และสิ่งแวดล้อม",,
ห้องน้ำสกปรกในหอพักชาย,midoriya@gmail.com,สถานที่,"in queue",18/10/2565,02:04:29,"ห้องน้ำ ที่หอพักชาย|ห้องน้ำสกปรกมาก และ ยังไม่มีแม่บ้านหรือ เจ้าหน้าที่มาทำความสะอาด","ห้องน้ำสกปรกในหอพักชาย_2022-10-18_1666033469876.sapfv4","หน่วยงานสถานที่และสิ่งแวดล้อม",,
"ค่า pm 2.5 สูง",midoriya@gmail.com,สิ่งแวดล้อม,"in queue",18/10/2565,02:17:39,"ในพื้นที่มีฝุ่นละอองเยอะจนเห็นได้ชัด และวัดค่า pm 2.5 ได้สูง  ส่งผลให้นิสิตไปภูมิแพ้กันเยอะ|บริเวณหน้าคณะวิศวะ","ค่า pm 2.5 สูง_2022-10-18_1666034259238.jpeg","หน่วยงานสถานที่และสิ่งแวดล้อม",,
น้ำเน่าเสีย,midoriya@gmail.com,สิ่งแวดล้อม,"in queue",18/10/2565,02:21:49,"บ่อน้ำส่งกลิ่นเหม็นเน่า ทำให้นิสิตไม่กล้าเดินผ่าน|หน้าโรงอาหารคณะวิศวะ","น้ำเน่าเสีย_2022-10-18_1666034509711.jpg","หน่วยงานสถานที่และสิ่งแวดล้อม",,
ขยะเกลื่อนตามฟุตบาท,midoriya@gmail.com,สิ่งแวดล้อม,"in queue",18/10/2565,02:25:37,"ฟุตบาทหน้าคณะวิทยาศาสตร์มีขยะถูกทิ้งไม่เป็นที่ เกลื่อนตามพื้น ดูสกปรก|ฟุตบาทหน้าคณะวิทยาศาสตร์","ขยะเกลื่อนตามฟุตบาท_2022-10-18_1666034737431.jpg","หน่วยงานสถานที่และสิ่งแวดล้อม",,
